
Tue 17 Nov 2020 02:07:39 AM EST
===============================================
POS	Total	Clean	With @	With #	Clean %
num	30041198	11643534	0	18397664	38.76
cnjcoo	2903892	1172595	177	1731120	40.39
prn	1929617	1265028	1947	662642	65.56
adj	740127	568620	0	171507	76.83
n	740031	522784	0	217247	70.65
post	406813	61250	363	345200	15.06
adv	90	9	0	81	10
det	42	42	0	0	100
cnjsub	6	6	0	0	100
vaux	0	0	0	0	100
v	0	0	0	0	100
np	0	0	0	0	100
ij	0	0	0	0	100
guio	0	0	0	0	100
cm	0	0	0	0	100
===============================================
